feature,gain,weight,cover
event_cause_corridor_grouped_vehicle_breakdown_bellary road 1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_bellary road 2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_cbd 2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_hennur main road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_hosur road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_irr(thanisandra road),0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_magadi road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_mysore road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_old airport road,0.0,0.0,0.0
valid_start_coordinate,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr east 1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr east 2,0.0,0.0,0.0
has_start_location,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr north 2,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr west 1,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_tumkur road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_varthur road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_west of chord road,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_bannerghata road,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_bellary road 1,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_mysore road,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_water_logging_orr east 1,0.0,0.0,0.0
peak_period_evening_peak,0.0,0.0,0.0
peak_period_morning_peak,0.0,0.0,0.0
peak_period_night,0.0,0.0,0.0
peak_period_off_peak,0.0,0.0,0.0
has_route_span,0.0,0.0,0.0
cause_peak_interaction_grouped_accident_night,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0
cause_peak_interaction_grouped_congestion_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_congestion_night,0.0,0.0,0.0
cause_peak_interaction_grouped_congestion_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_construction_evening_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_construction_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_construction_night,0.0,0.0,0.0
cause_peak_interaction_grouped_construction_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_other_rare,0.0,0.0,0.0
cause_peak_interaction_grouped_others_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_others_night,0.0,0.0,0.0
cause_peak_interaction_grouped_others_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_pot_holes_morning_peak,0.0,0.0,0.0
is_night,0.0,0.0,0.0
cause_peak_interaction_grouped_pot_holes_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_procession_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_procession_night,0.0,0.0,0.0
cause_peak_interaction_grouped_procession_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_public_event_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_road_conditions_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_road_conditions_night,0.0,0.0,0.0
cause_peak_interaction_grouped_road_conditions_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_tree_fall_morning_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_tree_fall_night,0.0,0.0,0.0
cause_peak_interaction_grouped_tree_fall_off_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_vehicle_breakdown_evening_peak,0.0,0.0,0.0
cause_peak_interaction_grouped_vehicle_breakdown_morning_peak,0.0,0.0,0.0
hour_cos,0.0,0.0,0.0
cause_peak_interaction_grouped_vehicle_breakdown_off_peak,0.0,0.0,0.0
report_lag_is_negative,0.0,0.0,0.0
cause_peak_interaction_grouped_water_logging_night,0.0,0.0,0.0
cause_peak_interaction_grouped_water_logging_off_peak,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 1_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 1_others,0.0,0.0,0.0
reporting_delay_minutes,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 2_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 2_others,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 2_pot_holes,0.0,0.0,0.0
zone_cause_interaction_grouped_central zone 2_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_east zone 1_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_east zone 1_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_east zone 2_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_east zone 2_others,0.0,0.0,0.0
zone_cause_interaction_grouped_east zone 2_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 1_accident,0.0,0.0,0.0
has_non_ascii_text,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 1_others,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 1_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 2_accident,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 2_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 2_others,0.0,0.0,0.0
zone_cause_interaction_grouped_north zone 2_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_other_rare,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 1_accident,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 1_pot_holes,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 1_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 2_accident,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 2_pot_holes,0.0,0.0,0.0
zone_cause_interaction_grouped_south zone 2_vehicle_breakdown,0.0,0.0,0.0
has_kannada_text,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_congestion,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_construction,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_others,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_pot_holes,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_procession,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_public_event,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_road_conditions,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_tree_fall,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_unknown_water_logging,0.0,0.0,0.0
zone_cause_interaction_grouped_west zone 1_accident,0.0,0.0,0.0
zone_cause_interaction_grouped_west zone 1_others,0.0,0.0,0.0
zone_cause_interaction_grouped_west zone 1_vehicle_breakdown,0.0,0.0,0.0
zone_cause_interaction_grouped_west zone 2_others,0.0,0.0,0.0
