feature,ensemble_importance,lgb_importance,xgb_importance
event_cause_corridor_grouped_vehicle_breakdown_non_corridor,3.635240077972412,7.270480155944824,0.0
has_blocked_word,3.6317849159240723,0.0,7.2635698318481445
police_station_grouped_mico layout,3.5554962158203125,0.0,7.110992431640625
cause_peak_interaction_grouped_other_rare,3.5168440341949463,0.0,7.033688068389893
cause_peak_interaction_grouped_water_logging_off_peak,3.3601207733154297,0.0,6.720241546630859
cause_heavy_vehicle_interaction_grouped_accident_heavy_0,3.260038375854492,0.0,6.520076751708984
corridor_peak_interaction_grouped_orr west 1_morning_peak,3.257955551147461,0.0,6.515911102294922
police_station_grouped_jayanagara,3.251209020614624,0.0,6.502418041229248
report_lag_is_negative,3.111621856689453,0.0,6.223243713378906
cause_heavy_vehicle_interaction_grouped_pot_holes_heavy_0,3.077282428741455,3.8021700382232666,2.3523948192596436
is_heavy_vehicle,2.952275037765503,5.904550075531006,0.0
veh_type_grouped_bmtc_bus,2.906564950942993,5.813129901885986,0.0
zone_cause_interaction_grouped_central zone 2_others,2.8207225799560547,0.0,5.641445159912109
peak_period_evening_peak,2.7471392154693604,0.0,5.494278430938721
start_day_name_tuesday,2.6495100259780884,5.299020051956177,0.0
event_cause_grouped_water_logging,2.5495800971984863,0.0,5.099160194396973
event_cause_grouped_road_conditions,2.480515956878662,0.0,4.961031913757324
cause_peak_interaction_grouped_procession_morning_peak,2.4501917362213135,0.0,4.900383472442627
corridor_peak_interaction_grouped_bellary road 1_morning_peak,2.4224026203155518,0.0,4.8448052406311035
junction_grouped_ayyappatemplejunc,2.276550769805908,0.0,4.553101539611816
police_station_grouped_r.t. nagar,2.2058167457580566,0.0,4.411633491516113
event_cause_corridor_grouped_vehicle_breakdown_tumkur road,2.201245069503784,0.0,4.402490139007568
corridor_grouped_old madras road,2.100260019302368,0.0,4.200520038604736
police_station_grouped_sheshadripuram,2.0821046829223633,0.0,4.164209365844727
zone_cause_interaction_grouped_other_rare,2.0352172856219113,0.3974494943395257,3.672985076904297
corridor_cause_interaction_grouped_non-corridor_congestion,2.026566505432129,0.0,4.053133010864258
corridor_peak_interaction_grouped_mysore road_off_peak,1.9986042976379395,0.0,3.997208595275879
corridor_grouped_bellary road 1,1.9732328653335571,0.0,3.9464657306671143
start_day_name_wednesday,1.9578170776367188,0.0,3.9156341552734375
zone_grouped_east zone 2,1.915412425994873,0.0,3.830824851989746
zone_grouped_south zone 2,1.8689056634902954,0.0,3.737811326980591
corridor_peak_interaction_grouped_bellary road 1_off_peak,1.8095128536224365,0.0,3.619025707244873
cause_heavy_vehicle_interaction_grouped_road_conditions_heavy_0,1.6771478652954102,0.0,3.3542957305908203
police_station_grouped_byatarayanapura,1.6754086017608643,0.0,3.3508172035217285
