iter	TotalF1	MultiClass
260	0.7335199054	0.588819394
261	0.7333037966	0.5885975962
262	0.736318869	0.5879910737
263	0.7365694098	0.5875167882
264	0.7358265455	0.5868404838
265	0.7361978634	0.5864744542
266	0.7366722006	0.5857587627
267	0.7380150475	0.585229799
268	0.7381183675	0.584938051
269	0.7398994681	0.5843470381
270	0.7386760869	0.583861794
271	0.7367188878	0.5835764888
272	0.7374754557	0.5831183776
273	0.7367012499	0.5827906327
274	0.7373726744	0.5825740617
275	0.7364786644	0.5823423854
276	0.7377081584	0.5818746385
277	0.7374848336	0.5813399111
278	0.7389316747	0.5805503061
279	0.7396017358	0.5803034039
280	0.7401376406	0.580058755
281	0.7406902065	0.5798398456
282	0.7414114502	0.5792087078
283	0.7416650302	0.5786894331
284	0.7424794365	0.578503025
285	0.7427172618	0.5781333993
286	0.7433846673	0.5778776823
287	0.7443670053	0.577580802
288	0.7437002964	0.5769298706
289	0.7431290174	0.5763661352
290	0.7434976014	0.576013192
291	0.7430850825	0.5756107326
292	0.7445452253	0.5751856037
293	0.7453320985	0.5748239572
294	0.7466513694	0.574241732
295	0.7480325586	0.5738452386
296	0.7480508115	0.5734464902
297	0.7495852309	0.5729980163
298	0.7489370903	0.5725626282
299	0.7485916167	0.5723357406
300	0.7499161542	0.5719503029
301	0.7496918407	0.5717000905
302	0.7502338777	0.5711210825
303	0.7505471721	0.5707959948
304	0.7493307334	0.5703668118
305	0.7499029926	0.5699865117
306	0.7511192537	0.5695741498
307	0.7532177694	0.5690599876
308	0.7537732817	0.5688444971
309	0.7539473115	0.5682849707
310	0.7549366198	0.5679430433
311	0.7549366198	0.5676813524
312	0.7546069835	0.567296571
313	0.755478192	0.5670035392
314	0.7560426091	0.5663724605
315	0.7567158149	0.5659587006
316	0.7573883153	0.5657568138
317	0.7562565185	0.5650950275
318	0.7553877513	0.5645984446
319	0.7561847355	0.5641140939
320	0.7582867177	0.5634371939
321	0.7615891299	0.5627581178
322	0.7621309432	0.5623926505
323	0.7638577387	0.5618507944
324	0.7641996446	0.5614394875
325	0.7643311028	0.5607925876
326	0.7652149017	0.5603479395
327	0.7642423473	0.5601576542
328	0.7639133327	0.5597217071
329	0.7645870299	0.5593145776
330	0.7641405693	0.5588151051
331	0.7629484119	0.5583399009
332	0.7638185375	0.5580329236
333	0.7652303269	0.557778421
334	0.7661139157	0.5574547081
335	0.7669972866	0.5570423841
336	0.7677634149	0.5566275747
337	0.7673399196	0.5561831617
338	0.7678665546	0.5555277834
339	0.7673412245	0.5551029152
340	0.7670129304	0.5547096853
341	0.7682243333	0.5543542964
342	0.7679974383	0.5539364633
343	0.7670276985	0.553644647
344	0.7693083816	0.5534345746
345	0.7690936986	0.5531192496
346	0.7696794408	0.5526919657
347	0.7696794408	0.552517309
348	0.7708748434	0.5520875867
349	0.7720553258	0.5517703388
350	0.7704187136	0.5514589861
351	0.7699768027	0.5510040909
352	0.7705185344	0.5506469052
353	0.7717282449	0.5499802233
354	0.7741472636	0.5494113562
355	0.7727238169	0.5491295898
356	0.7738344067	0.5485888255
357	0.7740631739	0.548053766
358	0.7749155403	0.5476180209
359	0.7743750629	0.547176305
360	0.7753554463	0.5469292564
361	0.7765631986	0.5467250118
362	0.7757107796	0.5463364121
363	0.7770006621	0.5460190442
364	0.7766891879	0.5456061131
365	0.7780064418	0.5452312633
366	0.7780064418	0.5450261385
367	0.7786570152	0.5445388795
368	0.7811756282	0.5439972039
369	0.7806491429	0.5437496518
370	0.7808645113	0.5435435446
371	0.7807534603	0.5429916123
372	0.7814050016	0.5427416601
373	0.7813917392	0.5422294151
374	0.7809605216	0.5416420045
375	0.7809605216	0.5415423907
376	0.7814084747	0.5410803367
377	0.7810696023	0.5409131291
378	0.7818405167	0.5403969499
379	0.7830602012	0.5396325319
380	0.7831683473	0.5391714946
381	0.7831549587	0.5387274964
382	0.782951537	0.5384835557
383	0.785252937	0.5380235459
384	0.7849430239	0.5376141969
385	0.784956749	0.5369981199
386	0.785511592	0.5367927832
387	0.7864985159	0.5365681904
388	0.7874557959	0.5360296751
389	0.7874840506	0.5355258028
390	0.7874840506	0.5352030894
391	0.7874840506	0.5350751216
392	0.7880393011	0.5348344484
393	0.7880246586	0.5345614448
394	0.7880246586	0.5343390544
395	0.7889178192	0.5341205596
396	0.7889031577	0.5338267494
397	0.7893354689	0.5332275504
398	0.7903358606	0.532965242
399	0.7902130996	0.5326904048
400	0.7901342566	0.5322778244
401	0.7899172614	0.5319228275
402	0.7895791157	0.5316031191
403	0.790982933	0.5311929521
404	0.7907803312	0.5307768355
405	0.7909001883	0.5304930768
406	0.7920712145	0.5300324132
407	0.7927593649	0.5298121889
408	0.7936965813	0.529526713
409	0.7940184404	0.5291618914
410	0.7936965813	0.5289229436
411	0.7940184404	0.5284849015
412	0.7943540699	0.5282793674
413	0.7942518876	0.5281201726
414	0.7923060975	0.5278928907
415	0.7923060975	0.5277610974
416	0.7945598702	0.5271049271
417	0.7942378713	0.5267681225
418	0.7943401971	0.5263782314
419	0.7936965813	0.5261896122
420	0.7934624276	0.5259152773
421	0.7940184404	0.5258113879
422	0.7946756217	0.5255120166
423	0.7947763191	0.5252176027
424	0.7950117541	0.524897828
425	0.7955393939	0.5244980541
426	0.7949834053	0.5242857814
427	0.7955531833	0.5238477582
428	0.7955671816	0.5233249718
429	0.7955671816	0.5230722904
430	0.7955671816	0.5228488856
431	0.7955671816	0.5226774445
432	0.7950258144	0.5224757206
433	0.7947045443	0.5221667632
434	0.7944842697	0.5218247181
435	0.7944842697	0.5216980463
436	0.7951123129	0.5211889341
437	0.7953330263	0.5208918798
438	0.7953330263	0.520605388
439	0.7953469835	0.5202730706
440	0.7962096965	0.5198636958
441	0.7976058154	0.5194714186
442	0.7965204557	0.519156554
443	0.7970497236	0.5187222272
444	0.796826992	0.5185151559
445	0.7962838355	0.5182173432
446	0.795657543	0.518109945
447	0.7962973598	0.5179087464
448	0.7970632268	0.5176568829
449	0.7968404535	0.5173118849
450	0.796936791	0.5170272039
451	0.7969503169	0.5167287558
452	0.7969503169	0.5165764561
453	0.796087398	0.5163965424
454	0.7977169053	0.5161636635
455	0.7985947662	0.5157130737
456	0.7996659862	0.5153265433
457	0.803029309	0.5147267856
458	0.8027086294	0.5145505796
459	0.8028223425	0.5143433884
460	0.8022810746	0.5142133554
461	0.80411719	0.5138149116
462	0.8047695287	0.5136598286
463	0.8059502425	0.5132173649
464	0.8067145578	0.5129632363
465	0.8050911609	0.5125459963
466	0.8046730835	0.5120874346
467	0.8049784182	0.5118461625
468	0.8058537665	0.5116937518
469	0.8054233899	0.511312716
470	0.8061863373	0.5107387212
471	0.8067272377	0.5101924574
472	0.8068255117	0.5099739051
473	0.8061863373	0.5096418631
474	0.8059629599	0.5095278764
475	0.8065188168	0.5091663066
476	0.8074895878	0.5089419109
477	0.8100710303	0.5084890929
478	0.8091269284	0.5082403076
479	0.8105411056	0.5079360137
480	0.8105411056	0.5077303876
