feature,importance
corridor_peak_interaction_grouped_bellary road 2_morning_peak,0.0010968815
corridor_peak_interaction_grouped_orr north 1_night,0.0010848022
corridor_peak_interaction_grouped_hosur road_off_peak,0.0010768431
corridor_peak_interaction_grouped_orr north 1_morning_peak,0.0010579813
junction_grouped_yeshwanthpuracircle,0.0010418104
corridor_cause_interaction_grouped_old madras road_vehicle_breakdown,0.0009245232
event_cause_corridor_grouped_vehicle_breakdown_old madras road,0.000919039
corridor_peak_interaction_grouped_bellary road 2_off_peak,0.0009178457
zone_cause_interaction_grouped_south zone 1_vehicle_breakdown,0.00091525866
corridor_cause_interaction_grouped_non-corridor_water_logging,0.0009133639
police_station_grouped_mahadevapura,0.0008923046
corridor_peak_interaction_grouped_orr west 1_night,0.00088839635
event_cause_corridor_grouped_tree_fall_non-corridor,0.0008625492
zone_cause_interaction_grouped_north zone 1_vehicle_breakdown,0.0008093768
police_station_grouped_hulimavu,0.0008001951
location_grid_grouped_12.969_77.701,0.0007957176
event_cause_grouped_tree_fall,0.00077890104
peak_period_night,0.00073469646
event_cause_corridor_grouped_others_magadi road,0.00063988124
corridor_peak_interaction_grouped_orr north 1_off_peak,0.00062840385
event_cause_corridor_grouped_others_mysore road,0.00060257106
police_station_grouped_kamakshipalya,9.86406e-05
corridor_peak_interaction_grouped_varthur road_night,0.0
cause_heavy_vehicle_interaction_grouped_water_logging_heavy_0,0.0
corridor_cause_interaction_grouped_bellary road 1_water_logging,0.0
corridor_cause_interaction_grouped_orr north 2_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_bellary road 2_accident,0.0
corridor_cause_interaction_grouped_orr north 2_others,0.0
corridor_cause_interaction_grouped_bellary road 2_others,0.0
cause_heavy_vehicle_interaction_grouped_vip_movement_heavy_0,0.0
corridor_peak_interaction_grouped_west of chord road_morning_peak,0.0
corridor_peak_interaction_grouped_hosur road_morning_peak,0.0
corridor_cause_interaction_grouped_cbd 2_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_hosur road_night,0.0
corridor_cause_interaction_grouped_hennur main road_congestion,0.0
corridor_cause_interaction_grouped_orr north 2_congestion,0.0
corridor_cause_interaction_grouped_hennur main road_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_bannerghata road_night,0.0
corridor_cause_interaction_grouped_hosur road_pot_holes,0.0
corridor_peak_interaction_grouped_varthur road_off_peak,0.0
corridor_cause_interaction_grouped_west of chord road_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_irr(thanisandra road)_pot_holes,0.0
corridor_cause_interaction_grouped_bellary road 1_vehicle_breakdown,0.0
start_day_name_unknown,0.0
start_month_2024-04,0.0
corridor_peak_interaction_grouped_cbd 2_off_peak,0.0
corridor_peak_interaction_grouped_hennur main road_morning_peak,0.0
corridor_cause_interaction_grouped_airport new south road_construction,0.0
corridor_peak_interaction_grouped_hennur main road_night,0.0
corridor_cause_interaction_grouped_airport new south road_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_bannerghata road_pot_holes,0.0
corridor_peak_interaction_grouped_hennur main road_off_peak,0.0
corridor_peak_interaction_grouped_airport new south road_night,0.0
corridor_cause_interaction_grouped_bannerghata road_vehicle_breakdown,0.0
start_day_name_monday,0.0
corridor_peak_interaction_grouped_west of chord road_night,0.0
corridor_cause_interaction_grouped_bannerghata road_water_logging,0.0
corridor_cause_interaction_grouped_bellary road 1_accident,0.0
corridor_cause_interaction_grouped_orr west 1_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_bellary road 1_others,0.0
corridor_cause_interaction_grouped_hosur road_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_orr north 2_off_peak,0.0
corridor_cause_interaction_grouped_irr(thanisandra road)_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_old madras road_morning_peak,0.0
corridor_peak_interaction_grouped_orr east 2_night,0.0
corridor_peak_interaction_grouped_cbd 2_morning_peak,0.0
corridor_cause_interaction_grouped_orr east 1_vehicle_breakdown,0.0
cause_heavy_vehicle_interaction_grouped_pot_holes_heavy_0,0.0
cause_heavy_vehicle_interaction_grouped_others_heavy_0,0.0
corridor_cause_interaction_grouped_non-corridor_pot_holes,0.0
corridor_peak_interaction_grouped_old madras road_off_peak,0.0
corridor_cause_interaction_grouped_non-corridor_road_conditions,0.0
corridor_cause_interaction_grouped_old airport road_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_old airport road_night,0.0
corridor_peak_interaction_grouped_airport new south road_off_peak,0.0
cause_heavy_vehicle_interaction_grouped_other_rare,0.0
corridor_peak_interaction_grouped_non-corridor_evening_peak,0.0
corridor_cause_interaction_grouped_orr east 1_pot_holes,0.0
corridor_cause_interaction_grouped_old madras road_pot_holes,0.0
cause_heavy_vehicle_interaction_grouped_construction_heavy_0,0.0
corridor_peak_interaction_grouped_orr east 2_off_peak,0.0
corridor_cause_interaction_grouped_orr east 1_water_logging,0.0
corridor_cause_interaction_grouped_tumkur road_others,0.0
corridor_cause_interaction_grouped_orr east 2_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_magadi road_others,0.0
corridor_peak_interaction_grouped_bannerghata road_off_peak,0.0
corridor_cause_interaction_grouped_orr north 1_vehicle_breakdown,0.0
cause_heavy_vehicle_interaction_grouped_tree_fall_heavy_0,0.0
corridor_cause_interaction_grouped_orr north 1_others,0.0
corridor_cause_interaction_grouped_magadi road_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_orr north 1_construction,0.0
cause_heavy_vehicle_interaction_grouped_public_event_heavy_0,0.0
corridor_peak_interaction_grouped_irr(thanisandra road)_morning_peak,0.0
